id,coordinates
948,"(36.1672559, -115.1485163)"
949,"(40.735657, -74.1723667)"
950,"(40.7127281, -74.0060152)"
951,"(36.1672559, -115.1485163)"
953,"(36.1672559, -115.1485163)"
955,"(45.4972159, -73.6103642)"
956,"(22.54541245, 88.3567751581234)"
957,"(45.4972159, -73.6103642)"
958,
959,"(18.9387711, 72.8353355)"
960,"(28.6141793, 77.2022662)"
963,
964,"(25.7742658, -80.1936589)"
965,"(-26.0437162, 28.1526925)"
967,"(28.6141793, 77.2022662)"
968,"(4.5693754, 102.2656823)"
969,"(-38.9708429, -68.0220255)"
970,"(47.7770998, -2.6750543)"
971,"(39.8467414, -75.7116997)"
972,"(35.1172406, -89.9132695)"
973,"(-33.8548157, 151.2164539)"
974,"(55.6332429, -4.7887547)"
978,
979,"(14.7644079, 121.0290904)"
980,"(22.3511148, 78.6677428)"
981,
982,"(40.7281575, -74.0776417)"
983,"(13.7542529, 100.493087)"
984,"(40.7127281, -74.0060152)"
987,"(-1.2832533, 36.8172449)"
988,"(40.6506446, -76.3480297)"
989,"(23.4881673, 120.201853)"
990,"(40.7263224, -73.9864498)"
991,
992,"(35.070502, 135.8713317)"
993,
995,"(59.9133301, 10.7389701)"
996,"(-26.205, 28.049722)"
998,"(33.4484367, -112.0741417)"
1000,"(30.4380832, -84.2809332)"
1002,
1004,"(34.9676167, -82.4434548)"
1005,"(1.4419683, 38.4313975)"
1006,"(13.7538929, 100.8160803)"
1009,"(35.029365, -87.966569)"
1010,"(18.9387711, 72.8353355)"
1013,
1014,"(40.6501038, -73.9495823)"
1015,"(41.47441105, -88.05876255177395)"
1016,
1017,
1019,"(40.6501038, -73.9495823)"
1021,"(21.0294498, 105.8544441)"
1022,"(41.3846293, 2.1794265)"
1024,"(20.0171109, 103.378253)"
1025,"(39.2908816, -76.610759)"
1026,"(1.254964, 103.8236226)"
1027,"(39.9622601, -83.0007065)"
1028,
1029,"(59.3251172, 18.0710935)"
1031,
1032,"(50.000678, -86.000977)"
1033,
1034,
1035,
1036,"(22.3511148, 78.6677428)"
1037,"(7.5554942, 80.7137847)"
1038,"(38.2117555, -77.6154235)"
1039,"(38.44086, -76.517138)"
1040,"(22.54541245, 88.3567751581234)"
1041,"(12.9265148, 80.1314526)"
1042,"(44.4361414, 26.1027202)"
1043,"(37.2544437, 13.6041524)"
1044,"(-23.5506507, -46.6333824)"
1045,"(40.6094217, -73.9626196)"
1046,"(19.2252525, -70.50876028008389)"
1048,"(34.395342, -111.7632755)"
1049,"(35.7730076, -86.2820081)"
1050,"(40.8466508, -73.8785937)"
1052,"(38.9597594, 34.9249653)"
1053,"(42.42482835, -123.32814009114388)"
1054,"(17.38878595, 78.46106473453146)"
1057,"(22.5677459, 88.3476023)"
1058,"(51.8091086, 14.1543974)"
1059,"(39.100105, -94.5781416)"
1060,"(6.4550575, 3.3941795)"
1064,"(40.20156085, -77.18778735003585)"
1065,"(23.9699282, 79.39486954625225)"
1067,"(-1.2490727499999998, 36.8962891457452)"
1068,"(46.9599823, 22.0541733)"
1069,"(27.3364347, -82.5306527)"
1071,"(27.7567667, -81.4639835)"
1073,"(41.9216734, -93.3122705)"
1074,"(46.9599823, 22.0541733)"
1075,"(22.3511148, 78.6677428)"
1076,
1077,"(39.5162234, -76.9382069)"
1078,
1080,"(42.9832214, -77.3089608)"
1081,"(2.8894434, -73.783892)"
1082,"(1.5333554, 32.2166578)"
1083,"(36.2814286, -91.5174007)"
1084,"(22.3511148, 78.6677428)"
1085,"(-0.2201641, -78.5123274)"
1088,"(-27.4689682, 153.0234991)"
1089,"(53.4794892, -2.2451148)"
1092,"(13.0801721, 80.2838331)"
1093,"(10.73618605, 79.63318659437627)"
1094,"(38.8949855, -77.0365708)"
1095,"(48.8566969, 2.3514616)"
1096,"(29.6196787, -95.6349463)"
1097,"(39.009612, 115.287774)"
1098,"(1.4419683, 38.4313975)"
1099,"(29.0338575, -95.4343859)"
1100,
1102,"(19.531932, 76.0554568)"
1104,"(30.2946859, -81.3931396)"
1105,"(-23.5506507, -46.6333824)"
1106,"(4.5693754, 102.2656823)"
1107,
1108,"(24.578721, 73.6862571)"
1109,"(54.7023545, -3.2765753)"
1110,"(51.5073219, -0.1276474)"
1111,"(51.5073219, -0.1276474)"
1112,"(55.9013478, -4.211472)"
1113,"(52.7954791, -0.5402402866174321)"
1114,"(39.7837304, -100.4458825)"
1115,"(35.820374, -81.291257)"
1116,"(-38.9708429, -68.0220255)"
1117,
1118,"(38.8949855, -77.0365708)"
1119,"(51.5073219, -0.1276474)"
1120,"(34.2331373, -102.4107493)"
1121,"(33.7490987, -84.3901849)"
1122,"(45.3842702, -73.995482)"
1124,"(18.9387711, 72.8353355)"
1127,"(41.7962409, -71.5992372)"
1130,"(32.4064429, 35.3427227)"
1132,"(39.8293282, 20.0927433)"
1133,"(53.4384555, -2.7575914)"
1134,"(51.5073219, -0.1276474)"
1135,"(21.4589475, 74.2948678)"
1136,"(48.8566969, 2.3514616)"
1137,
1138,
1140,
1142,"(22.49562345, 88.39844049999999)"
1143,"(35.6729639, -79.0392919)"
1144,"(11.79468465, 79.03882106200822)"
1145,"(38.8949855, -77.0365708)"
1146,
1148,"(38.8949855, -77.0365708)"
1149,"(-33.8548157, 151.2164539)"
